Latitude,Longitude,VSA_BPL,,,,,,
39.751697,-104.995933,147.757869,,,,,,
39.751705,-104.995922,150.9622248,,,,,,
39.751712,-104.995913,148.9389313,,,,,,
39.751727,-104.995903,148.6449885,,,,,,
39.751748,-104.995892,145.5312832,,,,,,
39.751812,-104.995897,143.8822113,,,,,,
39.75185,-104.995918,139.7674382,,,,,,
39.75189,-104.995952,143.2765916,,,,,,
39.751933,-104.995995,142.5582693,,,,,,
39.752033,-104.996103,140.0981325,,,,,,
39.752082,-104.996165,140.550402,,,,,,
39.752132,-104.996228,140.5661168,,,,,,
39.752232,-104.99636,137.9951203,,,,,,
39.75228,-104.996425,141.982809,,,,,,
39.752325,-104.996488,142.2997457,,,,,,
39.752367,-104.996548,141.8331895,,,,,,
39.752403,-104.9966,143.6978925,,,,,,
39.752475,-104.996697,142.170399,,,,,,
39.752507,-104.996737,147.2005561,,,,,,
39.75253,-104.996768,147.1648042,,,,,,
39.752547,-104.996792,140.375561,,,,,,
39.752567,-104.99682,142.3776582,,,,,,
39.752568,-104.996825,142.1571663,,,,,,
39.752568,-104.996825,141.130965,,,,,,
39.752568,-104.996825,141.5203643,,,,,,
39.752568,-104.996825,141.3936174,,,,,,
39.752567,-104.996827,141.6714373,,,,,,
39.752567,-104.996828,144.9403737,,,,,,
39.752565,-104.99683,138.8758991,,,,,,
39.752565,-104.996837,141.1617892,,,,,,
39.75257,-104.996845,146.152482,,,,,,
39.75258,-104.996862,144.3167173,,,,,,
39.752595,-104.996883,141.2201742,,,,,,
39.752632,-104.996932,142.5329574,,,,,,
39.752652,-104.996957,141.3565042,,,,,,
39.752673,-104.996985,145.4870754,,,,,,
39.752695,-104.997015,145.5567766,,,,,,
39.752742,-104.99708,146.0812724,,,,,,
39.752765,-104.997113,145.5250117,,,,,,
39.752805,-104.997168,144.293498,,,,,,
39.752827,-104.9972,145.4827218,,,,,,
39.75283,-104.997207,145.6169975,,,,,,
39.75283,-104.99721,146.021235,,,,,,
39.75283,-104.99721,146.1819342,,,,,,
39.752828,-104.997212,147.5337605,,,,,,
39.752828,-104.997213,145.4822227,,,,,,
39.752827,-104.997213,146.1560871,,,,,,
39.752827,-104.997215,146.1305182,,,,,,
39.752825,-104.997217,145.0524561,,,,,,
39.752823,-104.997217,145.4849639,,,,,,
39.752823,-104.997218,146.0969008,,,,,,
39.752823,-104.997218,144.819099,,,,,,
39.752822,-104.99722,140.9161263,,,,,,
39.752823,-104.997223,143.2106947,,,,,,
39.75283,-104.997232,143.2351618,,,,,,
39.752843,-104.997252,143.5298482,,,,,,
39.752892,-104.997318,143.9648077,,,,,,
39.752923,-104.997362,142.1106165,,,,,,
39.752958,-104.997407,141.603126,,,,,,
39.752995,-104.997455,141.0254404,,,,,,
39.75308,-104.997568,142.616718,,,,,,
39.753128,-104.997632,141.1030951,,,,,,
39.753178,-104.997697,143.4246725,,,,,,
39.75323,-104.997763,140.7781091,,,,,,
39.753333,-104.997897,145.1484323,,,,,,
39.753385,-104.997965,141.0110357,,,,,,
39.753437,-104.998033,138.7346125,,,,,,
39.753538,-104.998177,141.1115055,,,,,,
39.753587,-104.998248,141.1221132,,,,,,
39.753632,-104.998315,142.9397702,,,,,,
39.753672,-104.998377,141.1818356,,,,,,
39.7537,-104.998437,142.9696527,,,,,,
39.753707,-104.998563,150.8411787,,,,,,
39.753685,-104.998623,153.3571502,,,,,,
39.75365,-104.99868,153.8963127,,,,,,
39.753608,-104.998738,154.1112557,,,,,,
39.75351,-104.998863,152.4194115,,,,,,
39.75346,-104.99893,146.8629403,,,,,,
39.753407,-104.998998,146.0549286,,,,,,
39.753353,-104.999067,149.3914455,,,,,,
39.753253,-104.999195,151.547524,,,,,,
39.753215,-104.999243,151.8008764,,,,,,
39.753185,-104.99928,151.9745171,,,,,,
39.753153,-104.999313,152.13671,,,,,,
39.753082,-104.999388,150.905759,,,,,,
39.753045,-104.999433,151.4490099,,,,,,
39.753015,-104.999483,151.8306071,,,,,,
39.752985,-104.999527,150.7403619,,,,,,
39.752945,-104.999578,150.9547128,,,,,,
39.752938,-104.999585,152.7700816,,,,,,
39.752932,-104.999592,151.2263107,,,,,,
39.75289,-104.999607,151.3027423,,,,,,
39.752855,-104.999608,146.2221469,,,,,,
39.752813,-104.999607,146.6163958,,,,,,
39.752767,-104.999593,147.985786,,,,,,
39.752718,-104.99956,148.1564925,,,,,,
39.752625,-104.999457,145.330368,,,,,,
39.752577,-104.999397,143.9810503,,,,,,
39.752527,-104.999333,147.2241985,,,,,,
