Distance,Measured,Free Space loss Predicted,ITM Predicted,DNN Predicted,ITM Squared Error,DNN Squared Error,Free Space Loss Squared Error,,,,,,
11113.8780954597,145.3365616,124.2486734638,159.5745142957,146.747,202.7192969638,1.9333189442,444.699026045,,,,,,
11117.1575190253,144.7753692,124.2512360715,159.8484091479,146.727,227.196533272,3.3329278179,421.2400406771,,,,,,
11120.3978032027,146.0227526,124.2537673525,161.6958437835,146.601,245.6457872453,0.3027722012,473.8887187054,,,,,,
11126.942257715,142.1658888,124.2588775734,162.1714405204,146.573,400.2220996373,21.6421386172,320.6610510685,,,,,,
11130.6690636311,137.5399895,124.2617862975,159.496899779,146.818,482.1059089989,88.0221210221,176.3106802862,,,,,,
11134.1079749371,139.5666105,124.2644694597,159.2634960641,146.922,387.9673009258,52.5971534597,234.1555204157,,,,,,
11136.8186084651,138.4042363,124.2665838095,159.1372140253,146.819,429.8563653595,70.5392316884,199.8732179428,,,,,,
11138.4547586112,142.3048513,124.2678597911,158.6840285473,146.803,268.2774472972,20.2063618351,325.3330626925,,,,,,
11138.575980819,149.8122001,124.267954321,158.5904615325,146.8,77.0578737775,9.1034964434,652.5084924185,,,,,,
11138.2181882972,150.6354489,124.267675309,159.2241081775,146.795,73.7650681843,14.8644862205,695.2594841464,,,,,,
11137.3283131775,153.7747879,124.2669813321,158.4291122618,146.78,21.6627352651,49.207249282,870.7106484474,,,,,,
11136.2737625953,151.7536107,124.2661588599,157.572215306,146.76,33.8561595607,25.2266182438,755.5600086643,,,,,,
11135.0763416743,150.9568387,124.2652248648,157.7435299408,146.731,46.0591779973,17.9931955568,712.4422491301,,,,,,
11133.9418419808,152.4935032,124.2643398559,157.6861705723,146.715,26.9637944394,33.7038674052,796.8856631081,,,,,,
11132.7520394461,151.2217676,124.2634116091,159.0660508943,146.688,61.5327804013,20.4373396932,726.7529577316,,,,,,
11131.7541991837,149.941998,124.2626330488,159.102357626,146.701,83.9121884776,10.471683056,659.4297842967,,,,,,
11130.6985859616,146.8036484,124.2618093354,159.2090537689,146.706,153.8940823658,0.011588178,508.1345084126,,,,,,
11129.7557527926,147.6308714,124.2610735603,159.2456383441,146.696,134.9028111654,0.8890064769,546.1474510702,,,,,,
11128.9239853595,147.1222353,124.2604244076,159.299731125,146.688,148.2914045684,0.1833854722,522.6623972779,,,,,,
11128.2650780947,147.9398088,124.2599101292,159.1911245112,146.694,126.5921052332,1.5545321838,560.7376010574,,,,,,
11127.7455669025,148.2095579,124.2595046283,159.0475018906,146.693,117.4610299439,2.3029819799,573.6050517183,,,,,,
11127.2466351635,147.5949882,124.2591151726,158.0880460206,146.692,110.1042624261,0.8208146185,544.5629699487,,,,,,
11126.7815877248,147.0345705,124.2587521507,158.1684107124,146.689,123.9623978754,0.2396792745,518.737901482,,,,,,
11125.6767406002,145.9844857,124.257889632,158.2366097762,146.545,150.1145443797,0.3041680231,472.0449767016,,,,,,
11125.3039737623,145.5524524,124.2575986056,158.3813748252,146.536,164.5812505924,1.2134071151,453.4707981252,,,,,,
